AMRVAC
it   t   dt    d s1 s2 s3 tau b1 b2 b3 lfac xi c1 c2 c3 n1 n2 n3| Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
    430  1.7198E-01  4.0616E-04  5.6250E-01  1.5478E-01 -1.7198E-01  0.0000E+00  1.1750E+00  5.0000E-01  2.7756E-16  0.0000E+00  1.0375E+00  1.6693E+00  5.9375E-01  1.4062E-01  2.6562E-01      19       9      34 |   1.07E+00  1.07E+00  2.00E+05  1.55E+01  4.58E+00  2.90E-04
    440  1.7604E-01  4.0617E-04  5.6250E-01  1.5844E-01 -1.7604E-01  0.0000E+00  1.1750E+00  5.0000E-01  3.0531E-16  0.0000E+00  1.0384E+00  1.6694E+00  5.9375E-01  1.2500E-01  2.8125E-01      19       8      36 |   1.07E+00  1.07E+00  1.98E+05  1.58E+01  4.71E+00  2.93E-04
    450  1.8010E-01  4.0617E-04  5.6250E-01  1.6209E-01 -1.8010E-01  0.0000E+00  1.1750E+00  5.0000E-01  3.8858E-16  0.0000E+00  1.0393E+00  1.6695E+00  5.9375E-01  1.2500E-01  2.8125E-01      19       8      36 |   1.07E+00  1.07E+00  2.00E+05  1.58E+01  4.65E+00  2.84E-04
    460  1.8416E-01  4.0618E-04  5.6250E-01  1.6575E-01 -1.8416E-01  0.0000E+00  1.1750E+00  5.0000E-01  5.5511E-16  0.0000E+00  1.0402E+00  1.6696E+00  5.9375E-01  1.2500E-01  2.8125E-01      19       8      36 |   1.07E+00  1.07E+00  2.00E+05  1.58E+01  4.64E+00  2.78E-04
    470  1.8823E-01  4.0619E-04  5.6250E-01  1.6940E-01 -1.8823E-01  0.0000E+00  1.1750E+00  5.0000E-01  4.4409E-16  0.0000E+00  1.0411E+00  1.6697E+00  5.9375E-01  1.2500E-01  2.8125E-01      19       8      36 |   1.07E+00  1.07E+00  1.94E+05  1.58E+01  4.80E+00  2.82E-04
    480  1.9229E-01  4.0619E-04  5.6250E-01  1.7306E-01 -1.9229E-01  0.0000E+00  1.1750E+00  5.0000E-01  3.1919E-16  0.0000E+00  1.0420E+00  1.6698E+00  5.6250E-01  1.5625E-01  2.8125E-01      18      10      36 |   1.00E+00  1.00E+00  1.95E+05  1.60E+01  4.84E+00  2.79E-04
    490  1.9635E-01  4.0620E-04  5.6250E-01  1.7671E-01 -1.9635E-01  0.0000E+00  1.1750E+00  5.0000E-01  4.1633E-16  0.0000E+00  1.0429E+00  1.6699E+00  5.6250E-01  1.5625E-01  2.8125E-01      18      10      36 |   1.00E+00  1.00E+00  1.93E+05  1.60E+01  4.91E+00  2.78E-04
    500  2.0041E-01  4.0621E-04  5.6250E-01  1.8037E-01 -2.0041E-01  0.0000E+00  1.1750E+00  5.0000E-01  5.5511E-16  0.0000E+00  1.0438E+00  1.6700E+00  5.6250E-01  1.5625E-01  2.8125E-01      18      10      36 |   1.00E+00  1.00E+00  1.93E+05  1.60E+01  4.91E+00  2.72E-04
    510  2.0447E-01  4.0621E-04  5.6250E-01  1.8403E-01 -2.0447E-01  0.0000E+00  1.1750E+00  5.0000E-01  6.2450E-16  0.0000E+00  1.0447E+00  1.6702E+00  5.3125E-01  1.5625E-01  3.1250E-01      17      10      40 |   1.06E+00  1.06E+00  2.06E+05  1.68E+01  4.80E+00  2.61E-04
    520  2.0854E-01  4.0622E-04  5.6250E-01  1.8768E-01 -2.0854E-01  0.0000E+00  1.1750E+00  5.0000E-01  5.2736E-16  0.0000E+00  1.0455E+00  1.6703E+00  5.6250E-01  1.5625E-01  2.8125E-01      18      10      36 |   1.00E+00  1.00E+00  1.88E+05  1.60E+01  5.02E+00  2.67E-04
    530  2.1260E-01  4.0623E-04  5.6250E-01  1.9134E-01 -2.1260E-01  0.0000E+00  1.1750E+00  5.0000E-01  5.6899E-16  0.0000E+00  1.0464E+00  1.6704E+00  5.6250E-01  1.4062E-01  2.9688E-01      18       9      38 |   1.06E+00  1.06E+00  1.89E+05  1.62E+01  5.08E+00  2.64E-04
    540  2.1666E-01  4.0623E-04  5.6250E-01  1.9499E-01 -2.1666E-01  0.0000E+00  1.1750E+00  5.0000E-01  6.2450E-16  0.0000E+00  1.0473E+00  1.6705E+00  5.6250E-01  1.4062E-01  2.9688E-01      18       9      38 |   1.06E+00  1.06E+00  1.88E+05  1.62E+01  5.10E+00  2.60E-04
    550  2.2072E-01  4.0624E-04  5.6250E-01  1.9865E-01 -2.2072E-01  0.0000E+00  1.1750E+00  5.0000E-01  7.3552E-16  0.0000E+00  1.0482E+00  1.6706E+00  5.6250E-01  1.4062E-01  2.9688E-01      18       9      38 |   1.06E+00  1.06E+00  1.83E+05  1.62E+01  5.24E+00  2.61E-04
    560  2.2478E-01  4.0624E-04  5.6250E-01  2.0231E-01 -2.2478E-01  0.0000E+00  1.1750E+00  5.0000E-01  5.6899E-16  0.0000E+00  1.0491E+00  1.6707E+00  5.6250E-01  1.4062E-01  2.9688E-01      18       9      38 |   1.06E+00  1.06E+00  1.92E+05  1.62E+01  5.01E+00  2.44E-04
    570  2.2885E-01  4.0625E-04  5.6250E-01  2.0596E-01 -2.2885E-01  0.0000E+00  1.1750E+00  5.0000E-01  7.6328E-16  0.0000E+00  1.0500E+00  1.6708E+00  5.3125E-01  1.4062E-01  3.2812E-01      17       9      42 |   1.00E+00  1.00E+00  1.92E+05  1.70E+01  5.23E+00  2.49E-04
    580  2.3291E-01  4.0625E-04  5.6250E-01  2.0962E-01 -2.3291E-01  0.0000E+00  1.1750E+00  5.0000E-01  7.0777E-16  0.0000E+00  1.0509E+00  1.6709E+00  5.3125E-01  1.5625E-01  3.1250E-01      17      10      40 |   1.06E+00  1.06E+00  1.86E+05  1.68E+01  5.32E+00  2.47E-04
    590  2.3697E-01  4.0626E-04  5.6250E-01  2.1328E-01 -2.3697E-01  0.0000E+00  1.1750E+00  5.0000E-01  7.0777E-16  0.0000E+00  1.0518E+00  1.6710E+00  5.3125E-01  1.5625E-01  3.1250E-01      17      10      40 |   1.06E+00  1.06E+00  1.83E+05  1.68E+01  5.39E+00  2.44E-04
    600  2.4103E-01  4.0626E-04  5.6250E-01  2.1693E-01 -2.4104E-01  0.0000E+00  1.1750E+00  5.0000E-01  5.6899E-16  0.0000E+00  1.0527E+00  1.6711E+00  5.3125E-01  1.5625E-01  3.1250E-01      17      10      40 |   1.06E+00  1.06E+00  1.91E+05  1.68E+01  5.18E+00  2.29E-04
    610  2.4510E-01  4.0627E-04  5.6250E-01  2.2059E-01 -2.4510E-01  0.0000E+00  1.1750E+00  5.0000E-01  6.9389E-16  0.0000E+00  1.0536E+00  1.6713E+00  5.3125E-01  1.5625E-01  3.1250E-01      17      10      40 |   1.06E+00  1.06E+00  1.91E+05  1.68E+01  5.19E+00  2.23E-04
    620  2.4916E-01  4.0627E-04  5.6250E-01  2.2425E-01 -2.4916E-01  0.0000E+00  1.1750E+00  5.0000E-01  8.1879E-16  0.0000E+00  1.0544E+00  1.6714E+00  5.3125E-01  1.5625E-01  3.1250E-01      17      10      40 |   1.06E+00  1.06E+00  1.87E+05  1.68E+01  5.29E+00  2.22E-04
    630  2.5322E-01  4.0628E-04  5.6250E-01  2.2790E-01 -2.5322E-01  0.0000E+00  1.1750E+00  5.0000E-01  9.5757E-16  0.0000E+00  1.0553E+00  1.6715E+00  5.3125E-01  1.2500E-01  3.4375E-01      17       8      44 |   1.06E+00  1.06E+00  1.97E+05  1.72E+01  5.17E+00  2.11E-04
    640  2.5729E-01  4.0628E-04  5.6250E-01  2.3156E-01 -2.5729E-01  0.0000E+00  1.1750E+00  5.0000E-01  9.2981E-16  0.0000E+00  1.0562E+00  1.6716E+00  5.3125E-01  1.5625E-01  3.1250E-01      17      10      40 |   1.06E+00  1.06E+00  1.92E+05  1.68E+01  5.14E+00  2.04E-04
    650  2.6135E-01  4.0629E-04  5.6250E-01  2.3522E-01 -2.6135E-01  0.0000E+00  1.1750E+00  5.0000E-01  9.1593E-16  0.0000E+00  1.0571E+00  1.6717E+00  5.3125E-01  1.5625E-01  3.1250E-01      17      10      40 |   1.06E+00  1.06E+00  1.93E+05  1.68E+01  5.13E+00  1.98E-04
    660  2.6541E-01  4.0629E-04  5.6250E-01  2.3887E-01 -2.6541E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.0547E-15  0.0000E+00  1.0580E+00  1.6718E+00  5.3125E-01  1.4062E-01  3.2812E-01      17       9      42 |   1.00E+00  1.00E+00  1.94E+05  1.70E+01  5.18E+00  1.94E-04
    670  2.6947E-01  4.0630E-04  5.6250E-01  2.4253E-01 -2.6948E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.0547E-15  0.0000E+00  1.0589E+00  1.6719E+00  5.0000E-01  1.5625E-01  3.4375E-01      16      10      44 |   1.06E+00  1.06E+00  1.95E+05  1.75E+01  5.29E+00  1.92E-04
    680  2.7354E-01  4.0630E-04  5.6250E-01  2.4619E-01 -2.7354E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.0270E-15  0.0000E+00  1.0598E+00  1.6720E+00  5.0000E-01  1.7188E-01  3.2812E-01      16      11      42 |   1.06E+00  1.06E+00  1.91E+05  1.72E+01  5.33E+00  1.87E-04
    690  2.7760E-01  4.0630E-04  5.6250E-01  2.4985E-01 -2.7760E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.0825E-15  0.0000E+00  1.0607E+00  1.6721E+00  5.0000E-01  1.5625E-01  3.4375E-01      16      10      44 |   1.06E+00  1.06E+00  1.93E+05  1.75E+01  5.37E+00  1.83E-04
    700  2.8166E-01  4.0631E-04  5.6250E-01  2.5350E-01 -2.8166E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.1241E-15  0.0000E+00  1.0616E+00  1.6722E+00  5.0000E-01  1.5625E-01  3.4375E-01      16      10      44 |   1.06E+00  1.06E+00  1.93E+05  1.75E+01  5.35E+00  1.76E-04
    710  2.8573E-01  4.0631E-04  5.6250E-01  2.5716E-01 -2.8573E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.1380E-15  0.0000E+00  1.0625E+00  1.6723E+00  5.3125E-01  1.0938E-01  3.5938E-01      17       7      46 |   1.06E+00  1.06E+00  1.95E+05  1.75E+01  5.30E+00  1.68E-04
    720  2.8979E-01  4.0632E-04  5.6250E-01  2.6082E-01 -2.8979E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.1796E-15  0.0000E+00  1.0634E+00  1.6725E+00  5.3125E-01  1.4062E-01  3.2812E-01      17       9      42 |   1.00E+00  1.00E+00  1.92E+05  1.70E+01  5.23E+00  1.60E-04
    730  2.9385E-01  4.0632E-04  5.6250E-01  2.6447E-01 -2.9385E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.2768E-15  0.0000E+00  1.0642E+00  1.6726E+00  5.3125E-01  1.8750E-01  2.8125E-01      17      12      36 |   1.06E+00  1.06E+00  1.84E+05  1.62E+01  5.22E+00  1.54E-04
    740  2.9792E-01  4.0632E-04  5.6250E-01  2.6813E-01 -2.9792E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.1796E-15  0.0000E+00  1.0651E+00  1.6727E+00  5.3125E-01  1.8750E-01  2.8125E-01      17      12      36 |   1.06E+00  1.06E+00  1.85E+05  1.62E+01  5.18E+00  1.47E-04
    750  3.0198E-01  4.0633E-04  5.6250E-01  2.7179E-01 -3.0198E-01  0.0000E+00  1.1750E+00  5.0000E-01  1.2490E-15  0.0000E+00  1.0660E+00  1.6728E+00  4.6875E-01  2.1875E-01  3.1250E-01      15      14      40 |   1.06E+00  1.06E+00  1.96E+05  1.72E+01  5.21E+00  1.42E-04
